signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events,p_two_sided,q_bh,beats_null_bh
SIG_HALLMARK_G2M_CHECKPOINT,axis_residualised,0.0333569916084253,0.016672312563884,0.569380512767763,0.5354157966244074,0.0073992009573187,1000,0.0686961826647785,0.0453599294027219,0.0920324359268351,True,c_index,True,PFI,2442,7.94357318890873e-09,2.5419434204507936e-07,True
SIG_HALLMARK_G2M_CHECKPOINT,raw,0.0333360689229473,0.0166618628454469,0.5447557452790565,0.5188478926119269,0.003290598259378,1000,0.0520364200791082,0.0287148041408536,0.0753580360173628,True,c_index,True,PFI,2442,1.2245245145942573e-05,7.836956893403246e-05,True
SIG_HALLMARK_HYPOXIA,axis_residualised,0.0333583250723631,0.0166729785545081,0.5519410942817222,0.5369420307557796,0.0075836072757001,1000,0.0302225015388345,0.0068853153973223,0.0535596876803466,True,c_index,True,PFI,2442,0.011141652904691499,0.027425607150009843,True
SIG_HALLMARK_HYPOXIA,raw,0.0333364130143701,0.0166620347001046,0.5407484077798065,0.5199264407128347,0.0033990689346212,1000,0.0418021382333308,0.0184802815717916,0.0651239948948701,True,c_index,True,PFI,2442,0.00044300576712374924,0.0014176184547959976,True
SIG_HALLMARK_IL2_STAT5_SIGNALING,axis_residualised,0.0333659710902045,0.0166767973114494,0.5222696530974361,0.5331005906001148,0.0085860628448714,1000,-0.0217488086618583,-0.0450913438891299,0.0015937265654133,False,c_index,True,PFI,2442,0.06782824475091258,0.13132299952010276,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,raw,0.0333359498678705,0.0166618033840118,0.5170343988136566,0.5171453206298592,0.0032528989312451,1000,-0.0002235507682778,-0.0235450834166644,0.0230979818801087,False,c_index,True,PFI,2442,0.9850106885621374,0.9850106885621374,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,axis_residualised,0.0333929961428085,0.0166902947934059,0.5161686424769203,0.5269415314458131,0.0114451442431653,1000,-0.0216148700902114,-0.0449763118027977,0.0017465716223749,False,c_index,True,PFI,2442,0.06976534349505459,0.13132299952010276,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,raw,0.0333437558044249,0.0166657020171739,0.5155428977978931,0.5166836260618373,0.0052077203461308,1000,-0.0022874217320915,-0.0256144153439403,0.0210395718797573,False,c_index,True,PFI,2442,0.8475917229795029,0.9040978378448031,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,axis_residualised,0.0333777897136605,0.0166827000469639,0.5157743376106839,0.5234205154250349,0.0099501321616714,1000,-0.0153348459194701,-0.0386856493501042,0.0080159575111639,False,c_index,True,PFI,2442,0.19804560633793844,0.3168729701407015,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,raw,0.0333363521053113,0.0166620042793947,0.5148764368555044,0.514287752547981,0.0033824700587111,1000,0.001177056695489,-0.0221447573546169,0.0244988707455949,False,c_index,True,PFI,2442,0.9212019632211652,0.9509181555831383,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,axis_residualised,0.0333709029530326,0.0166792604992025,0.5160357788806885,0.5344538556158444,0.0091671398629289,1000,-0.0369576571257105,-0.0603036426401472,-0.0136116716112738,False,c_index,True,PFI,2442,0.0019176149171639375,0.005113639779103833,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,raw,0.033340049561889,0.0166638509544626,0.5137042370629431,0.52018059805762,0.0043871552544482,1000,-0.012970916808275,-0.0362953175659635,0.0103534839494134,False,c_index,True,PFI,2442,0.2757332964514355,0.36764439526858067,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,axis_residualised,0.0333606043054891,0.0166741169037846,0.5112891197572453,0.5358682786021036,0.0078945027599606,1000,-0.0492957648830704,-0.072634545555711,-0.0259569842104298,False,c_index,True,PFI,2442,3.476061784050803e-05,0.00013904247136203212,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,raw,0.0333360881454279,0.0166618724460142,0.5118720052116817,0.5188119165788053,0.0032967564335521,1000,-0.0138947671911652,-0.0372163965772953,0.0094268621949649,False,c_index,True,PFI,2442,0.24291782004159557,0.3379726191883069,False
SIG_HALLMARK_MYC_TARGETS_V1,axis_residualised,0.0333411281796048,0.0166643896642715,0.549378112651186,0.5419594573164983,0.0046153577546743,1000,0.0149552047079695,-0.0083699506410347,0.0382803600569738,False,c_index,True,PFI,2442,0.20887875240653564,0.3182914322385305,False
SIG_HALLMARK_MYC_TARGETS_V1,raw,0.0333362040355512,0.0166619303267292,0.5391626164699428,0.5302397437875555,0.003326441378488,1000,0.017929922344989,-0.0053917881168358,0.0412516328068139,False,c_index,True,PFI,2442,0.13185259897399487,0.22206753511409663,False
SIG_HALLMARK_TGF_BETA_SIGNALING,axis_residualised,0.0333841442869182,0.0166858737958057,0.5288806884905838,0.5310723870873728,0.0105873284614116,1000,-0.0044268818017574,-0.0277821308350603,0.0189283672315453,False,c_index,True,PFI,2442,0.7102634380047255,0.8117296434339719,False
SIG_HALLMARK_TGF_BETA_SIGNALING,raw,0.0333466217663319,0.0166671334059739,0.5255398119337225,0.5200153907475505,0.0057579790014967,1000,0.0110665629777967,-0.0122624356353929,0.0343955615909863,False,c_index,True,PFI,2442,0.3525021290759841,0.4512027252172597,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,axis_residualised,0.0333600856441759,0.0166738578615264,0.5242026041264861,0.5351754185203281,0.0078272666605919,1000,-0.02204129134067,-0.0453797091624905,0.0012971264811504,False,c_index,True,PFI,2442,0.06416507916220317,0.13132299952010276,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,raw,0.0333358359424949,0.0166617464845788,0.5213738953034862,0.5185690162093587,0.0032149481836747,1000,0.0056172063820469,-0.0177042465651649,0.0289386593292587,False,c_index,True,PFI,2442,0.6368718084992363,0.7548110322953911,False
