signature,group,delta_z,delta_lo,delta_hi,se,n_group,n_reference,n_strata_used,n_strata_dropped,strata,Q,df,I2_pct,heterogeneous,mde_80pct,p,q_bh,significant_bh
SIG_HALLMARK_COMPLEMENT,ASIAN,0.2039873921254944,0.07352718964993119,0.33444759460105766,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",2.3484040912456017,4,0.0,False,0.18648065867053867,0.002179634985766601,0.020924495863359368,True
SIG_HALLMARK_COMPLEMENT,AMR,0.05610900881902834,-0.24634469090632985,0.35856270854438654,0.15431594769652626,52,510,2,29,"CESC, THCA",0.14377271253513238,1,0.0,False,0.43232927798568194,0.7161580323617608,0.8577930081568251,False
SIG_HALLMARK_E2F_TARGETS,AFR,-0.0182543119494949,-0.12300908929867568,0.08650046539968587,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",11.610973019309178,10,13.874573790070063,False,0.14973715744937582,0.7326981944672881,0.8577930081568251,False
SIG_HALLMARK_E2F_TARGETS,ASIAN,0.1902719294610785,0.05981172698551526,0.32073213193664174,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",10.247618016327612,4,60.96653882271209,True,0.18648065867053867,0.004255911101430897,0.025535466608585383,True
SIG_HALLMARK_E2F_TARGETS,AMR,-0.055704846280993585,-0.3581585460063518,0.2467488534443646,0.15431594769652626,52,510,2,29,"CESC, THCA",4.862076570074111,1,79.43265628198945,True,0.43232927798568194,0.718115001365446,0.8577930081568251,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AFR,0.0014584669242649819,-0.1032963104249158,0.10621324427344575,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",17.459889496109305,10,42.72586889952332,True,0.14973715744937582,0.9782300714706803,0.9831821708729785,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,ASIAN,0.13848232068662758,0.008022118211064355,0.2689425231621908,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",8.862994859979901,4,54.868528491857084,True,0.18648065867053867,0.0374811636870132,0.1499246547480528,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AMR,-0.03415305059191685,-0.33660675031727505,0.2683006491334413,0.15431594769652626,52,510,2,29,"CESC, THCA",1.9707422947355941,1,49.25769834689798,False,0.43232927798568194,0.8248440601249545,0.8890378109705581,False
SIG_HALLMARK_G2M_CHECKPOINT,AFR,-0.03445570722130203,-0.1392104845704828,0.07029907012787875,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",8.126358151234703,10,0.0,False,0.14973715744937582,0.5191430235212665,0.8329361994281945,False
SIG_HALLMARK_G2M_CHECKPOINT,ASIAN,0.19139683538530197,0.06093663290973875,0.32185703786086517,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",6.744241014209354,4,40.69013857048626,False,0.18648065867053867,0.0040346070989086096,0.025535466608585383,True
SIG_HALLMARK_G2M_CHECKPOINT,AMR,-0.06120762820872776,-0.36366132793408595,0.2412460715166304,0.15431594769652626,52,510,2,29,"CESC, THCA",3.431965510098907,1,70.86217804178398,True,0.43232927798568194,0.6916341426736919,0.8577930081568251,False
SIG_HALLMARK_HYPOXIA,AFR,0.07717248697539798,-0.027582290373782792,0.18192726432457876,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",25.06657136576753,10,60.106231306701076,True,0.14973715744937582,0.1487674502611118,0.37583355855438766,False
