signature,group,delta_z,delta_lo,delta_hi,se,n_group,n_reference,n_strata_used,n_strata_dropped,strata,Q,df,I2_pct,heterogeneous,mde_80pct
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AFR,0.06094082738269435,-0.24721007893078784,0.36909173369617654,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",3.6012588123335285,5,0.0,False,0.4404729019949617
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,ASIAN,0.38566919990168896,0.11063654776797849,0.6607018520353994,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.341543733016199,3,0.0,False,0.39313345489714674
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AMR,0.45128721078735484,0.04538243812152676,0.8571919834531829,0.20709807724404794,36,210,3,605,"CJ, CV, EL",6.280427283159394,2,68.15503293282472,True,0.5802029119065424
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AFR,0.08560397258995354,-0.22254693372352863,0.39375487890343575,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",2.8461007571319055,5,0.0,False,0.4404729019949617
SIG_HALLMARK_INFLAMMATORY_RESPONSE,ASIAN,0.34005199847743056,0.06501934634372009,0.615084650611141,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.6335349333354052,3,0.0,False,0.39313345489714674
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AMR,0.45288420614446445,0.04697943347863637,0.8587889788102925,0.20709807724404794,36,210,3,605,"CJ, CV, EL",5.447927345000191,2,63.2887908860332,True,0.5802029119065424
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AFR,0.017777091826921648,-0.2903738144865605,0.32592799814040385,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",3.4630689543206614,5,0.0,False,0.4404729019949617
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,ASIAN,0.24235709873331715,-0.032675553400393326,0.5173897508670277,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.916984016377277,3,0.0,False,0.39313345489714674
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AMR,0.4921466639860326,0.08624189132020449,0.8980514366518606,0.20709807724404794,36,210,3,605,"CJ, CV, EL",5.961966684408823,2,66.45402254208813,True,0.5802029119065424
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AFR,0.010221731115023421,-0.29792917519845874,0.31837263742850563,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",3.270597073892703,5,0.0,False,0.4404729019949617
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,ASIAN,0.35754517248332185,0.08251252034961137,0.6325778246170324,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.2632364843892721,3,0.0,False,0.39313345489714674
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AMR,0.5271971034336279,0.12129233076779983,0.933101876099456,0.20709807724404794,36,210,3,605,"CJ, CV, EL",7.603469803239554,2,73.69621959769111,True,0.5802029119065424
SIG_HALLMARK_MYC_TARGETS_V1,AFR,0.1066221861263112,-0.201528720187171,0.4147730924397934,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",8.043581788649535,5,37.838637918052825,False,0.4404729019949617
SIG_HALLMARK_MYC_TARGETS_V1,ASIAN,0.2826492195899135,0.007616567456203038,0.557681871723624,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.9509519587726953,3,0.0,False,0.39313345489714674
SIG_HALLMARK_MYC_TARGETS_V1,AMR,0.08970435330861144,-0.31620041935721666,0.4956091259744395,0.20709807724404794,36,210,3,605,"CJ, CV, EL",1.303880008041979,2,0.0,False,0.5802029119065424
SIG_HALLMARK_TGF_BETA_SIGNALING,AFR,0.2270321465363497,-0.08111875977713248,0.5351830528498319,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",5.4435665562385,5,8.148454724598873,False,0.4404729019949617
SIG_HALLMARK_TGF_BETA_SIGNALING,ASIAN,0.21360212194271075,-0.06143053019099973,0.4886347740764212,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.87186296932045,3,0.0,False,0.39313345489714674
SIG_HALLMARK_TGF_BETA_SIGNALING,AMR,0.2578653493805778,-0.14803942328525027,0.6637701220464058,0.20709807724404794,36,210,3,605,"CJ, CV, EL",3.905093697820744,2,48.784839628403546,False,0.5802029119065424
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AFR,-0.0024891167558977454,-0.31064002306937993,0.30566178955758444,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",2.38759564028374,5,0.0,False,0.4404729019949617
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,ASIAN,0.20414340508522472,-0.07088924704848576,0.4791760572189352,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.7490037650862208,3,0.0,False,0.39313345489714674
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AMR,0.31989814363511704,-0.08600662903071105,0.7258029163009452,0.20709807724404794,36,210,3,605,"CJ, CV, EL",5.273090412205793,2,62.071577696249335,True,0.5802029119065424
