signature,group,n,n_reference,r,r_reference,delta_z,delta_lo,delta_hi,se,mde_80pct,detectable
SIG_HALLMARK_IL2_STAT5_SIGNALING,AFR,594,5312,0.5256779556510313,0.5701967041631846,-0.06366044270210525,-0.14865164908104164,0.02133076367683115,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,ASIAN,502,5312,0.7322924365236818,0.5701967041631846,0.2858385935799015,0.19406774249410425,0.37760944466569873,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_IL2_STAT5_SIGNALING,AMR,172,5312,0.5826000958548322,0.5701967041631846,0.01857555572980074,-0.13457176029408816,0.17172287175368964,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AFR,594,5312,0.5701438018691922,0.6420537870868358,-0.11392427839383668,-0.19891548477277307,-0.02893307201490028,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,ASIAN,502,5312,0.7041444492646614,0.6420537870868358,0.11381341443712867,0.022042563351331423,0.2055842655229259,0.04682272317740224,0.1311778491256056,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AMR,172,5312,0.6588034507962772,0.6420537870868358,0.029036396063578107,-0.12411091996031079,0.182183712087467,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AFR,594,5312,0.5811446415611253,0.6537894679459393,-0.1176994250179435,-0.2026906313968799,-0.03270821863900711,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,ASIAN,502,5312,0.7590014252495247,0.6537894679459393,0.21196650935474592,0.12019565826894868,0.30373736044054317,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AMR,172,5312,0.6470615403184932,0.6537894679459393,-0.011661564345345488,-0.16480888036923438,0.1414857516785434,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AFR,594,5312,0.5192751124498869,0.5578795045233571,-0.054402485603066264,-0.13939369198200266,0.030588720775870132,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,ASIAN,502,5312,0.6045981124521878,0.5578795045233571,0.07061374901009942,-0.02115710207569782,0.16238460009589667,0.04682272317740224,0.1311778491256056,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AMR,172,5312,0.6684339076665505,0.5578795045233571,0.1781575489004923,0.025010232876603394,0.33130486492438116,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AFR,594,5312,0.5665123615000552,0.6265072656308878,-0.09327397005200266,-0.17826517643093906,-0.008282763673066268,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,ASIAN,502,5312,0.6907807577668292,0.6265072656308878,0.1138017398005734,0.022030888714776153,0.20557259088637064,0.04682272317740224,0.1311778491256056,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AMR,172,5312,0.6958603609464791,0.6265072656308878,0.12358344114978026,-0.029563874874108637,0.27673075717366913,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_MYC_TARGETS_V1,AFR,594,5312,0.6816265824555645,0.5371332839037719,0.23202826535166565,0.14703705897272926,0.3170194717306021,0.04336365721479384,0.1214869810562842,True
SIG_HALLMARK_MYC_TARGETS_V1,ASIAN,502,5312,0.7307546933620865,0.5371332839037719,0.33022731620334567,0.23845646511754842,0.4219981672891429,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_MYC_TARGETS_V1,AMR,172,5312,0.7719067355043531,0.5371332839037719,0.42491079153495304,0.27176347551106417,0.5780581075588419,0.0781378215272808,0.21890976576637916,True
SIG_HALLMARK_TGF_BETA_SIGNALING,AFR,594,5312,0.4796259398292353,0.5065039373140465,-0.03551769980998376,-0.12050890618892016,0.049473506568952635,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_TGF_BETA_SIGNALING,ASIAN,502,5312,0.7516333981047604,0.5065039373140465,0.4186830111097054,0.32691216002390816,0.5104538621955026,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_TGF_BETA_SIGNALING,AMR,172,5312,0.505769723315609,0.5065039373140465,-0.0009870784142018696,-0.15413439443809077,0.15216023760968703,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AFR,594,5312,0.5671782457190173,0.6176459465937061,-0.07783711803857307,-0.16282832441750947,0.007154088340363324,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,ASIAN,502,5312,0.7383105704291676,0.6176459465937061,0.2255651676911723,0.13379431660537505,0.31733601877696954,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AMR,172,5312,0.6641718967425861,0.6176459465937061,0.07905162823315104,-0.07409568779073786,0.23219894425703994,0.0781378215272808,0.21890976576637916,False
