signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,axis_residualised,0.09233397167667477,0.04603623188225925,0.5357330154946365,0.534767294398093,0.01040647716716958,1000,0.0019111384024292632,-0.06268488311631601,0.06650715992117454,False,c_index,True,PFI,327
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,raw,0.09232066940796765,0.04602963712374688,0.5302860548271752,0.5332361382598331,0.005556434852701925,1000,-0.0059323624049953255,-0.07051907777541784,0.05865435296542719,False,c_index,True,PFI,327
SIG_HALLMARK_G2M_CHECKPOINT,axis_residualised,0.09233415096632838,0.04603632076713504,0.5512991656734207,0.5366172348033375,0.010450668299549184,1000,0.029562870530683905,-0.035033276417500966,0.09415901747886878,False,c_index,True,PFI,327
SIG_HALLMARK_G2M_CHECKPOINT,raw,0.09232030410937711,0.04602945602238186,0.553611442193087,0.533544338498212,0.005361381387954872,1000,0.04043930576833388,-0.024147154042458874,0.10502576557912663,False,c_index,True,PFI,327
SIG_HALLMARK_HYPOXIA,axis_residualised,0.09233621327806107,0.046037343181316075,0.5687961859356376,0.5354923957091776,0.011008228940170202,1000,0.06733105945414081,0.0027334697310958805,0.13192864917718572,True,c_index,True,PFI,327
SIG_HALLMARK_HYPOXIA,raw,0.09232081689161173,0.04602971024061262,0.5484624553039332,0.5325901430274136,0.0056340953471653386,1000,0.031948981993574044,-0.03263783655508799,0.09653580054223608,False,c_index,True,PFI,327
SIG_HALLMARK_IL2_STAT5_SIGNALING,axis_residualised,0.0923431223587738,0.046040768432771266,0.5061620977353993,0.5310291418355184,0.012717974128419147,1000,-0.04985413936106757,-0.11445656261524181,0.014748283893106673,False,c_index,True,PFI,327
SIG_HALLMARK_IL2_STAT5_SIGNALING,raw,0.09232056872986544,0.046029587211314234,0.5000476758045291,0.5264381883194279,0.00551247028802478,1000,-0.052836826471668555,-0.11742347140859039,0.011749818465253276,False,c_index,True,PFI,327
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,axis_residualised,0.09235525514406809,0.04604678338169771,0.5037425506555423,0.5267010846245531,0.015251472304112166,1000,-0.04602127646970619,-0.11063218771205771,0.01858963477264533,False,c_index,True,PFI,327
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,raw,0.09232752800212374,0.04603303735569396,0.5042908224076281,0.5256758283671036,0.00843099706341368,1000,-0.04282962971911103,-0.10742114330071897,0.021761883862496917,False,c_index,True,PFI,327
