signature,adjustment,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,endpoint,n_events
SIG_HALLMARK_INFLAMMATORY_RESPONSE,raw,0.5054348147666018,0.5136162434986361,0.0061734333393909,1000,-0.016373425307170075,-0.08092594617825558,0.04817909556391542,False,c_index,PFI,328
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,axis_residualised,0.5102690484784294,0.5394908611089744,0.011425476053374971,1000,-0.058646730749820845,-0.12321044668826481,0.005916985188623124,False,c_index,PFI,328
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,raw,0.5188132755039851,0.5246562309544801,0.008586210323058717,1000,-0.01172276658870653,-0.07627956512855863,0.05283403195114556,False,c_index,PFI,328
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,axis_residualised,0.503701117731638,0.5408789193091248,0.00867680763585107,1000,-0.07456318462607722,-0.1391202460131892,-0.010006123238965242,False,c_index,PFI,328
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,raw,0.5119139896924907,0.5231458672331261,0.005858837253214204,1000,-0.022498762574425506,-0.08705084335528301,0.04205331820643201,False,c_index,PFI,328
SIG_HALLMARK_MYC_TARGETS_V1,axis_residualised,0.5369963846795619,0.5451284178387366,0.0068179858528979185,1000,-0.016391880785201193,-0.08094548241957948,0.048161720849177095,False,c_index,PFI,328
SIG_HALLMARK_MYC_TARGETS_V1,raw,0.507375608717005,0.5327671520623894,0.006559069143236971,1000,-0.050887342388535935,-0.11544048397770204,0.013665799200630178,False,c_index,PFI,328
SIG_HALLMARK_TGF_BETA_SIGNALING,axis_residualised,0.5600018934575126,0.5366476453080715,0.014414734566412348,1000,0.047096733955454426,-0.0174762691956427,0.11166973710655155,False,c_index,PFI,328
SIG_HALLMARK_TGF_BETA_SIGNALING,raw,0.5454991923220298,0.5239333266273379,0.011377435774900115,1000,0.04332208988555269,-0.02124138088034653,0.10788556065145191,False,c_index,PFI,328
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,axis_residualised,0.5364520156446927,0.539792938586889,0.009499050152436765,1000,-0.006749663145192153,-0.07130851877406097,0.057809192483676664,False,c_index,PFI,328
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,raw,0.5239729472257889,0.5224315248841737,0.006241720531995071,1000,0.003082492387557985,-0.061470140896710414,0.06763512567182639,False,c_index,PFI,328
