signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,axis_residualised,0.03339299614280854,0.01669029479340597,0.5161686424769203,0.5269415314458131,0.01144514424316531,1000,-0.02161487009021141,-0.04497631180279778,0.001746571622374956,False,c_index,True,PFI,2442
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,raw,0.03334375580442499,0.01666570201717395,0.5155428977978931,0.5166836260618373,0.00520772034613084,1000,-0.0022874217320915137,-0.025614415343940353,0.021039571879757326,False,c_index,True,PFI,2442
SIG_HALLMARK_INFLAMMATORY_RESPONSE,axis_residualised,0.03337778971366054,0.016682700046963938,0.5157743376106839,0.5234205154250349,0.009950132161671421,1000,-0.015334845919470166,-0.03868564935010429,0.008015957511163956,False,c_index,True,PFI,2442
SIG_HALLMARK_INFLAMMATORY_RESPONSE,raw,0.033336352105311315,0.016662004279394727,0.5148764368555044,0.514287752547981,0.003382470058711128,1000,0.001177056695489006,-0.022144757354616948,0.02449887074559496,False,c_index,True,PFI,2442
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,axis_residualised,0.03337090295303264,0.016679260499202573,0.5160357788806885,0.5344538556158444,0.009167139862928967,1000,-0.03695765712571058,-0.060303642640147266,-0.013611671611273891,False,c_index,True,PFI,2442
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,raw,0.033340049561889094,0.016663850954462635,0.5137042370629431,0.52018059805762,0.004387155254448296,1000,-0.012970916808275074,-0.036295317565963575,0.010353483949413426,False,c_index,True,PFI,2442
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,axis_residualised,0.03336060430548913,0.016674116903784685,0.5112891197572453,0.5358682786021036,0.007894502759960604,1000,-0.049295764883070456,-0.07263454555571106,-0.02595698421042985,False,c_index,True,PFI,2442
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,raw,0.033336088145427906,0.01666187244601421,0.5118720052116817,0.5188119165788053,0.00329675643355218,1000,-0.013894767191165204,-0.037216396577295384,0.009426862194964976,False,c_index,True,PFI,2442
SIG_HALLMARK_MYC_TARGETS_V1,axis_residualised,0.033341128179604856,0.01666438966427154,0.549378112651186,0.5419594573164983,0.004615357754674302,1000,0.014955204707969572,-0.008369950641034705,0.03828036005697385,False,c_index,True,PFI,2442
SIG_HALLMARK_MYC_TARGETS_V1,raw,0.0333362040355512,0.016661930326729267,0.5391626164699428,0.5302397437875555,0.0033264413784880945,1000,0.017929922344989073,-0.00539178811683581,0.04125163280681396,False,c_index,True,PFI,2442
SIG_HALLMARK_TGF_BETA_SIGNALING,axis_residualised,0.033384144286918285,0.016685873795805765,0.5288806884905838,0.5310723870873728,0.010587328461411648,1000,-0.004426881801757494,-0.02778213083506034,0.01892836723154535,False,c_index,True,PFI,2442
SIG_HALLMARK_TGF_BETA_SIGNALING,raw,0.03334662176633198,0.016667133405973953,0.5255398119337225,0.5200153907475505,0.005757979001496764,1000,0.01106656297779672,-0.012262435635392949,0.03439556159098639,False,c_index,True,PFI,2442
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,axis_residualised,0.03336008564417595,0.016673857861526458,0.5242026041264861,0.5351754185203281,0.007827266660591903,1000,-0.02204129134067001,-0.045379709162490504,0.0012971264811504832,False,c_index,True,PFI,2442
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,raw,0.03333583594249491,0.0166617464845788,0.5213738953034862,0.5185690162093587,0.0032149481836747447,1000,0.0056172063820469215,-0.01770424656516494,0.028938659329258782,False,c_index,True,PFI,2442
