signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_IL2_STAT5_SIGNALING,axis_residualised,0.09228789247721662,0.046013387500113925,0.5075450209979357,0.5384010249839846,0.011453883500810067,1000,-0.06190257868158365,-0.1264663636041367,0.0026612062409693965,False,c_index,True,PFI,328
SIG_HALLMARK_IL2_STAT5_SIGNALING,raw,0.09227046691948536,0.04600474849528644,0.5005219825847629,0.5232839822525921,0.0055007574073913925,1000,-0.045563345147507255,-0.11011493930558061,0.018988249010566095,False,c_index,True,PFI,328
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,axis_residualised,0.09230478340786608,0.04602176142838928,0.5042470401214796,0.5324102071321801,0.01515866851954412,1000,-0.05647773747772185,-0.12105333914442541,0.008097864188981715,False,c_index,True,PFI,328
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,raw,0.09227635818864385,0.0460076691912838,0.5024319643153724,0.5222295062519278,0.008045762517354147,1000,-0.03963594493848635,-0.10419166057582054,0.024919770698847835,False,c_index,True,PFI,328
SIG_HALLMARK_INFLAMMATORY_RESPONSE,axis_residualised,0.09229782987901339,0.04601831411693995,0.504852065390182,0.5273673333807863,0.013777777694625546,1000,-0.045127400491868364,-0.10969813753192105,0.019443336548184323,False,c_index,True,PFI,328
SIG_HALLMARK_INFLAMMATORY_RESPONSE,raw,0.09227081722615949,0.04600492216581398,0.5024675540370608,0.5170027285453295,0.005689793400533271,1000,-0.02908782274191931,-0.09363966197141166,0.035464016487573045,False,c_index,True,PFI,328
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,axis_residualised,0.09228807355645886,0.046013477272960075,0.5120767788929224,0.54266758013619,0.01148435472591966,1000,-0.06143000340679565,-0.1259939150107685,0.00313390819717721,False,c_index,True,PFI,328
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,raw,0.09227425123341473,0.04600662463307471,0.5064536028661589,0.5323366194509692,0.007223957189011347,1000,-0.0518692517206814,-0.11642349335096436,0.012684989909601548,False,c_index,True,PFI,328
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,axis_residualised,0.09227869297692923,0.046008826701058825,0.5053384582532564,0.5447008565259687,0.008802409649141904,1000,-0.07899162156109735,-0.14354897059545307,-0.014434272526741634,False,c_index,True,PFI,328
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,raw,0.09226952610415343,0.046004282069932644,0.5018981184900467,0.529672491517783,0.004968749365414602,1000,-0.05562442084023147,-0.12017535681230543,0.008926515131842484,False,c_index,True,PFI,328
SIG_HALLMARK_MYC_TARGETS_V1,axis_residualised,0.09227368835899963,0.046006345578623375,0.5398248985692932,0.5455819394025673,0.0069642503835789975,1000,-0.011616764057265277,-0.07617061190563709,0.05293708379110654,False,c_index,True,PFI,328
SIG_HALLMARK_MYC_TARGETS_V1,raw,0.09226968279332548,0.046004359751285515,0.547144517996536,0.5451511258215294,0.005036902702690798,1000,0.004011784202350169,-0.060539261388068435,0.06856282979276877,False,c_index,True,PFI,328
SIG_HALLMARK_TGF_BETA_SIGNALING,axis_residualised,0.09230303715945534,0.04602089570116185,0.563005670628989,0.5393194533418748,0.01479568146066449,1000,0.047814470187422436,-0.016759909819496877,0.11238885019434175,False,c_index,True,PFI,328
SIG_HALLMARK_TGF_BETA_SIGNALING,raw,0.0922819882906646,0.04601046040631092,0.5423517688091679,0.5312527226137093,0.009865286638001632,1000,0.022295837170985516,-0.042263817235413614,0.08685549157738465,False,c_index,True,PFI,328
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,axis_residualised,0.09228153802736952,0.04601023718103512,0.5373929342539208,0.5437339431038981,0.009695756109619622,1000,-0.01279910565131688,-0.0773584450575382,0.05176023375490443,False,c_index,True,PFI,328
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,raw,0.09227025987658416,0.046004645850220356,0.5263363940493986,0.528796118347688,0.005383470985577644,1000,-0.004941146758671737,-0.06949259607138147,0.05961030255403801,False,c_index,True,PFI,328
